Number,Short description,Assignment group,Close notes,Tags,Classification
INC3860455,SAS Permission issue in BI LAYER Production  after the GPFS Downtime on 24-Nov-2019,AZTEC.GAP.PAAS-SAS-CL-2ND,"Issue Description: SAS Permission issue in BI LAYER Production
Incident Type: SAS permission issue
Resolution Description:There was a permission issue on E1 - Prod Bilayer during change CHG0121844. After changing the permission issue it got resolved.
 We will raise the problem ticket for RCA
",AZ Technology, SAS Server Issue
INC3800702,SAS EG error | workspace server failure ,AZTEC.GAP.PAAS-SAS-CL-2ND,"IT: Access Issue.
D: SAS EG error | workspace server failure 
R: issue resolved by user.  Below are the comments from user.

Hi Team,

I am able to access EG in all environments now. Issue seemed to be fixed.

You may close this JIRA. Thanks for support!

Regards,

Abhishek Padhye",AZ Reinsurance, SAS Platform Access/Availability
INC4789792,Extend Technical Users,AZTEC.GAP.PAAS-SAS-CL-2ND,"Issue Description:Extend Technical Users
Type: SAS others
Resolution : Closing as we received information",AZ Technology, SAS Access Issue
INC3308102,Request for information regarding jobs,AZTEC.GAP.PAAS-SAS-CL-2ND,REQ0807777,AZ Technology, SAS Service Requests
INC4216556, Datenrestore SAS BI (PaaS) Deutschland,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description :  Data restore
Type : Service req
Resolution : Completed successfuly",AZ Germany, SAS Service Requests
INC3441209,Warning - CPU utilization on server kfrar023 is 99.1%. 3611705 99.1 Aug16 /opt/sas/sas94/SASFoundation/9.4/sasexe/sas,AZTEC.GAP.PAAS-SAS-CL-2ND,We have killed the top running process and now looks good.,AZ Technology, SAS CPU
INC3341571, CPU utilization on server kfrar021 is 98.5%.,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,

Issue is no more exists, So we're closing this ticket.
Thank you.
Regards
D Srinivasulu",AZ Germany, SAS CPU
INC3244300,unable to save anything on the platform or to run  batches,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue has been resolved,AZ Technology, SAS Filesystem/Quota
INC3734144,users have been removed from the group belomclosing - Urgent,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Type ; Access issue
Resolution : advised user to request for the groups through giam",AZ Benelux, SAS Access Issue
INC4071670,"KFRAR003 TSM Backup Status Jan 16, 2020 1:30:00 PM  - Failed",AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident description : TSM backup failed
Incident type : Backup
Resolution : The reason for failed status in the report was given by backup team",AZ Germany, SAS Backup
INC2756752,Increase quota as per attached SR,AZTEC.GAP.PAAS-SAS-CL-2ND,Quota increased as per attached SR,AZ Germany, SAS Filesystem/Quota
INC4148114,quota change,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : quot achange
type: service request
resolution : completed request",AZ Germany, SAS Filesystem/Quota
